[WARNING][2018-04-14 15:43:27,356][views.py][pubilcation][77]> 表单提交成功
[ERROR][2018-04-14 15:43:27,845][basehttp.py][log_message][124]> "POST /user/pubication HTTP/1.1" 500 214165
[ERROR][2018-04-14 15:44:14,392][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:14,395][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:14,399][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:14,708][basehttp.py][log_message][124]> "GET /static/images/banner.png HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:14,710][basehttp.py][log_message][124]> "GET /static/images/2.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:14,711][basehttp.py][log_message][124]> "GET /static/images/1.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:33,219][basehttp.py][log_message][124]> "GET /static/admin/css/login.css HTTP/1.1" 500 59
[ERROR][2018-04-14 15:44:36,262][basehttp.py][log_message][124]> "GET /admin/login/?next=/admin/blog/tag/add/ HTTP/1.1" 500 59
[WARNING][2018-04-14 15:45:06,462][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 15:45:06,472][views.py][pubilcation][77]> 表单提交成功
[ERROR][2018-04-14 15:45:06,676][basehttp.py][log_message][124]> "POST /user/pubication HTTP/1.1" 500 213229
[ERROR][2018-04-14 15:49:27,284][basehttp.py][log_message][124]> "GET /static/images/co.png HTTP/1.1" 500 59
[ERROR][2018-04-14 15:50:37,387][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/plugins/magicline/images/icon.png?t=H8DA HTTP/1.1" 500 59
[ERROR][2018-04-14 15:50:48,594][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/plugins/smiley/dialogs/smiley.js?t=H8DA HTTP/1.1" 500 59
